"","alue","tunnus","väestö","tulot","suomenkieliset","ruotsinkieliset","vieraskieliset","ylempi_kork","perusaste","työttömyys","työvoima","työvoiman_ulkop","alle_15","opiskelijat","eläkeläiset"
"84","Nordsjön kartano","542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Pajamäki","461",1864,29978,80.8,4.2,15,25.2,19.3,9.4,57.2,42.8,12.7,6.8,23.3
"86","Paloheinä","351",5857,49200,93.1,3,3.9,35.9,16,4.6,48.6,51.4,20.6,7.8,23
"87","Patola","284",10553,33576,85.1,3.6,11.3,25.6,21.5,8.6,51,49,15.3,7.4,26.3
"88","Pihlajamäki","383",7317,26342,68,2,30,11.8,35.3,15.3,50.7,49.3,13.7,8.2,27.5
"89","Pihlajisto","386",2411,25803,65.5,3,31.5,11.7,33.5,17.1,45.6,54.4,15.1,7.1,32.1
"90","Pikku Huopalahti","162",6706,32771,76.7,4.7,18.6,21.9,24.5,10.8,50.4,49.6,14.9,8.2,26.6
"91","Pirkkola","281",468,40924,91.7,5.8,2.6,37.7,18.6,5.9,43.4,56.6,15,7.7,34
"92","Pitäjänmäen yritysalue","465",3916,33844,76.3,3.7,20,19.9,24.5,10.7,57.9,42.1,12.1,6.3,23.7
"93","Pohjois-Haaga","293",9180,28968,75.7,4.5,19.7,21.1,26,10.8,54.7,45.3,12.2,7.5,25.6
"94","Pohjois-Pasila","172",2081,31927,80.5,2,17.5,20.7,18.3,6.8,67.3,32.7,13.9,7.8,11
"95","Puistola","411",6576,40536,89.4,2,8.6,21.4,20.2,6.5,50,50,19.5,7.2,23.3
"96","Pukinmäki","370",8583,28457,72,2,26.1,13.3,29,12,49.4,50.6,14.8,7.5,28.3
"97","Punavuori","050",9258,44785,77.2,12.3,10.5,32.9,13.9,7.1,62.5,37.5,9.6,7.3,20.6
"98","Puotila","452",4816,28179,71.7,5.6,22.7,17.4,29,13.6,52.4,47.6,12.6,7.1,27.9
"99","Puotinharju","453",4257,26268,60.7,3.7,35.6,12.1,36.3,18.6,49.4,50.6,14.7,6.9,29
"100","Puroniitty","592",157,NA,76.4,15.9,7.6,15.4,31.6,NA,NA,NA,NA,NA,NA
"101","Rastila","547",4907,31084,68.3,5.4,26.3,16.7,29.8,13.2,49.3,50.7,16.5,10.2,24
"102","Reimarla","463",4981,30953,70.4,4.6,25,16.9,28.7,10.6,52.7,47.3,14.3,8.5,24.6
"103","Roihupelto","456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Roihuvuori","432",8249,28464,77.5,2.6,20,21.3,27.1,14.1,53.4,46.6,15.3,7.4,23.9
"105","Ruoholahti","201",2863,34221,68,4.3,27.6,18.5,28.3,11.1,53,47,15.5,8.1,23.4
"106","Salmenkallio","560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Santahamina","510",292,35471,95.9,2.7,1.4,29,9.2,NA,72.6,27.4,18.5,6.8,NA
"108","Siltamäki","401",7973,30947,78.4,2.2,19.4,11.5,30,9.7,49.5,50.5,17.7,8.1,24.8
